"","MO","SC","UA","PD","AD","State","Age","Sex","UK","UKCopula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula"
"1",1,1,1,1,1,"11111","18-34","male",1,0.981598227589256,1,0.969908108148937,1,0.969361234190123,1,0.972757382945736,1,0.985452413880263,1,0.979696709678994,1,0.988999290705385
"2",1,1,1,1,2,"11112","18-34","male",0.848,0.900983696780227,0.785,0.848313761018326,0.907,0.863609254651905,0.805,0.851612083205093,0.875,0.91744466409574,0.914,0.890214705797178,0.999,0.940187147202945
"3",1,1,1,1,3,"11113","18-34","male",0.414,0.72128220864756,0.736,0.746800460121257,0.742,0.717465351957296,0.37,0.585469062526159,0.734,0.761133836777745,0.541,0.694316975735282,0.611,0.718550614223239
"4",1,1,1,2,1,"11121","18-34","male",0.796,0.906104604105601,0.768,0.870241548038977,0.913,0.857662638221639,0.843,0.867235949651253,0.869,0.912768128918998,0.887,0.89067954392826,0.887,0.924263590983538
"5",1,1,1,2,2,"11122","18-34","male",0.725,0.826538740937178,0.705,0.786983616163693,0.87,0.807949752833137,0.719,0.769801452728233,0.783,0.838513326796469,0.825,0.801330865964965,0.887,0.869224656167743
"6",1,1,1,2,3,"11123","18-34","male",0.291,0.64421648186557,0.656,0.688037262467423,0.705,0.66790696586091,0.284,0.511530497978119,0.642,0.681869332770094,0.452,0.606410966337559,0.499,0.649781968664184
"7",1,1,1,3,1,"11131","18-34","male",0.264,0.923573746087831,0.654,0.897558942758639,0.749,0.884908120836307,0.366,0.890214170269652,0.703,0.926069034708026,0.424,0.912135999863478,0.361,0.931192309596153
"8",1,1,1,3,2,"11132","18-34","male",0.193,0.820183176318844,0.591,0.785145597121068,0.706,0.802166215352553,0.242,0.760026852465596,0.617,0.826665895002585,0.362,0.797239354652329,0.361,0.850658014199476
"9",1,1,1,3,3,"11133","18-34","male",0.028,0.593576031376775,0.542,0.655516371122126,0.591,0.634113290043123,0.041,0.445282345932629,0.498,0.618221414346763,0.28,0.556227830205101,0.296,0.563659928131735
"10",1,1,2,1,1,"11211","18-34","male",0.883,0.9162644547103,0.804,0.87531997302574,0.899,0.883360606470405,0.897,0.892519409064266,0.887,0.922978176664679,0.905,0.908361227858,0.999,0.943836447231048
"11",1,1,2,1,2,"11212","18-34","male",0.812,0.82976162871159,0.741,0.776093206076753,0.856,0.81434951751134,0.773,0.779742804734532,0.801,0.840848428025743,0.843,0.811904531022163,0.999,0.882526418101451
"12",1,1,2,1,3,"11213","18-34","male",0.378,0.644312106809534,0.692,0.671837352097528,0.691,0.669571892074719,0.338,0.519099399208472,0.66,0.682072749141695,0.47,0.613658112048233,0.611,0.661822645847797
"13",1,1,2,2,1,"11221","18-34","male",0.76,0.8314813730478,0.724,0.784687270064532,0.862,0.80242795707168,0.811,0.797565332294838,0.795,0.826600935645113,0.816,0.812201239431553,0.887,0.865828853404797
"14",1,1,2,2,2,"11222","18-34","male",0.689,0.750303867299872,0.661,0.707531301530024,0.819,0.759473642309129,0.687,0.696741967205331,0.709,0.745913518751095,0.754,0.721988914194065,0.887,0.803555300169359
"15",1,1,2,2,3,"11223","18-34","male",0.255,0.575446194612249,0.612,0.614192047319268,0.654,0.623942334089411,0.252,0.446375837465688,0.568,0.595362957478718,0.381,0.535563061493377,0.499,0.587794896951609
"16",1,1,2,3,1,"11231","18-34","male",0.228,0.759564671027871,0.61,0.734888236211536,0.698,0.74056790103579,0.334,0.703016217113039,0.629,0.731275131853081,0.353,0.746780005578518,0.361,0.755184975708346
"17",1,1,2,3,2,"11232","18-34","male",0.157,0.652104452244891,0.547,0.644216183726528,0.655,0.677761910949231,0.21,0.564396019085904,0.543,0.622522533620473,0.291,0.634084894219342,0.361,0.653982517740843
"18",1,1,2,3,3,"11233","18-34","male",-0.008,0.425165778012287,0.498,0.520112013836042,0.54,0.520416005123968,0.009,0.241644251691963,0.424,0.417874236674712,0.209,0.398892827739706,0.296,0.353125048013145
"19",1,1,3,1,1,"11311","18-34","male",0.556,0.951514683151841,0.715,0.92565904241775,0.692,0.927221478991733,0.638,0.933660037441979,0.746,0.956295583329165,0.49,0.947570935856371,0.676,0.967590696951372
"20",1,1,3,1,2,"11312","18-34","male",0.485,0.854573331919657,0.652,0.802411949266058,0.649,0.828645832212295,0.514,0.801480099877391,0.66,0.864343614061032,0.428,0.841563343261437,0.676,0.89989410180753
"21",1,1,3,1,3,"11313","18-34","male",0.32,0.601535995504876,0.603,0.637617719441815,0.534,0.6306997452049,0.313,0.459259601624351,0.541,0.613590756251858,0.346,0.575550598773272,0.611,0.601400361924437
