"","MO","SC","UA","PD","AD","State","Age","Sex","UK_2026","UK_2026Copula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula","Pakistan","PakistanCopula","Australia","AustraliaCopula","Belgium","BelgiumCopula","Canada","CanadaCopula","Denmark","DenmarkCopula","France","FranceCopula","Hungary","HungaryCopula","Iran","IranCopula","Italy","ItalyCopula","Malaysia","MalaysiaCopula","Poland","PolandCopula","Portugal","PortugalCopula","Romania","RomaniaCopula","Taiwan","TaiwanCopula","Thailand","ThailandCopula","Trinidad_and_Tobago","Trinidad_and_TobagoCopula","USA","USACopula","Singapore","SingaporeCopula","England_2018","England_2018Copula"
"1",1,1,1,1,1,11111,"18-34","male",1,0.98665155,1,0.9833398,1,0.99203003,1,0.98666343,1,0.98977632,1,0.99087508,1,0.99564213,NA,0.99645779,1,0.98523519,1,0.98125839,0.949,0.98666818,1,0.98612162,1,0.98986979,1,0.99274829,1,0.98657293,1,0.9923519,1,0.98882609,1,0.99255078,1,0.97828417,1,0.99282847,1,0.97482812,1,0.97962119,1,0.99003118,1,0.98738175,1,0.98596079,1,0.98665155
"2",1,1,1,1,2,11112,"18-34","male",0.959,0.89307115,0.86,0.85380774,0.871,0.93452631,0.883,0.86817989,0.951,0.91181545,0.919,0.93556283,0.97,0.99197599,NA,0.97305,0.968,0.86272443,0.901,0.82745881,0.911,0.88132556,0.928,0.87612255,0.98,0.92989361,0.96,0.93228982,0.916,0.87690361,0.956,0.93399688,0.928,0.89823117,0.982,0.94600889,0.964,0.83634716,0.962,0.93958804,0.936,0.76914377,0.942,0.83817243,0.98,0.92661904,0.943,0.89397819,0.914,0.88840514,0.922,0.89307115
"3",1,1,1,1,3,11113,"18-34","male",0.874,0.81985608,0.827,0.77790049,0.858,0.89375086,0.808,0.78040021,0.882,0.85962327,0.872,0.88606083,0.918,0.97209232,NA,0.95240543,0.934,0.77892847,0.849,0.72369193,0.874,0.81136377,0.809,0.79993683,0.953,0.88015996,0.907,0.88892944,0.781,0.80839337,0.891,0.89490643,0.905,0.84026931,0.971,0.91107918,0.915,0.73892044,0.941,0.90178649,0.817,0.63674516,0.904,0.74839374,0.926,0.88493836,0.867,0.82840136,0.821,0.81043368,0.896,0.81985608
"4",1,1,1,1,4,11114,"18-34","male",0.687,0.59427694,0.765,0.74870503,0.724,0.80670358,0.597,0.55413557,0.785,0.78369235,0.729,0.6920629,0.756,0.77235219,NA,0.87655059,0.762,0.62122711,0.617,0.5355127,0.708,0.69658571,0.57,0.6428467,0.8,0.72800808,0.739,0.79441128,0.661,0.74916362,0.682,0.8321488,0.77,0.77495738,0.892,0.81619874,0.788,0.54447594,0.89,0.82166336,0.66,0.46711166,0.767,0.63253252,0.839,0.81688648,0.671,0.67622873,0.568,0.58972268,0.715,0.59427694
"5",1,1,1,1,5,11115,"18-34","male",0.609,0.42749678,0.742,0.73135699,0.689,0.74412989,0.532,0.38622922,0.742,0.73132177,0.652,0.54974019,0.644,0.62333557,NA,0.82132396,0.609,0.50614736,0.524,0.39754096,0.671,0.6136241,0.382,0.5275297,0.742,0.62043219,0.66,0.72548529,0.591,0.70992785,0.678,0.78747815,0.7,0.72987404,0.768,0.74710324,0.716,0.39806217,0.782,0.76380532,0.579,0.34660933,0.705,0.55058866,0.736,0.76848115,0.629,0.56281845,0.503,0.4324102,0.711,0.42749678
"6",1,1,1,2,1,11121,"18-34","male",0.944,0.87628425,0.898,0.8622387,0.862,0.9404506,0.887,0.89819416,0.942,0.91380858,0.922,0.92143723,0.943,0.93390945,NA,0.97234635,0.956,0.8888993,0.895,0.85465438,0.904,0.90022464,0.952,0.8905772,0.978,0.91430642,0.957,0.93691617,0.88,0.89776104,0.953,0.93716254,0.919,0.91838966,0.97,0.93271776,0.959,0.81491832,0.947,0.93478202,0.913,0.80674754,0.944,0.83419388,0.956,0.90804726,0.935,0.89728401,0.956,0.88719587,0.937,0.87628425
"7",1,1,1,2,2,11122,"18-34","male",0.903,0.80508748,0.82,0.77715494,0.829,0.89811823,0.817,0.80158671,0.893,0.84701904,0.841,0.87266925,0.913,0.92736073,NA,0.94904475,0.924,0.79833978,0.834,0.74636869,0.867,0.82842925,0.88,0.8144639,0.958,0.85381312,0.917,0.88207734,0.796,0.81259956,0.909,0.89144892,0.847,0.84844239,0.952,0.89997938,0.923,0.73025265,0.909,0.8903889,0.85,0.65667831,0.885,0.75186375,0.936,0.87075407,0.878,0.84077888,0.876,0.78975391,0.859,0.80508748
"8",1,1,1,2,3,11123,"18-34","male",0.818,0.74767273,0.787,0.72991267,0.816,0.86783566,0.742,0.72976128,0.824,0.80310163,0.794,0.82897432,0.861,0.90664416,NA,0.92923736,0.89,0.73632587,0.782,0.67308384,0.829,0.78077398,0.761,0.76096974,0.931,0.80567222,0.864,0.84335066,0.661,0.76079719,0.844,0.86110409,0.824,0.80463911,0.941,0.87446391,0.874,0.67524619,0.888,0.85902685,0.73,0.56157278,0.848,0.70024044,0.882,0.84594419,0.802,0.79947714,0.789,0.71482347,0.833,0.74767273
"9",1,1,1,2,4,11124,"18-34","male",0.631,0.52035017,0.725,0.70014879,0.682,0.78022426,0.531,0.50180513,0.727,0.72558558,0.651,0.63376905,0.699,0.7054818,NA,0.85245975,0.718,0.57742762,0.55,0.48406722,0.664,0.66523751,0.522,0.60261458,0.778,0.65168777,0.696,0.74711668,0.541,0.70032863,0.635,0.79739701,0.689,0.73878149,0.862,0.77860973,0.747,0.54224953,0.837,0.7775663,0.573,0.39053716,0.711,0.58437487,0.795,0.77721906,0.606,0.65074232,0.543,0.49174899,0.652,0.52035017
"10",1,1,1,2,5,11125,"18-34","male",0.553,0.34478755,0.701,0.68055287,0.647,0.71318377,0.466,0.32542256,0.684,0.66855266,0.574,0.48301592,0.587,0.54892711,NA,0.79339275,0.565,0.45548687,0.457,0.33881768,0.626,0.57676258,0.334,0.48049073,0.72,0.53530491,0.617,0.67402178,0.471,0.65687997,0.631,0.74947562,0.619,0.69005272,0.738,0.70495549,0.675,0.44049509,0.729,0.71586365,0.492,0.26194645,0.648,0.49662029,0.692,0.72528468,0.564,0.53520529,0.485,0.32260914,0.648,0.34478755
