,Australia,Belgium,Canada,China,Denmark,Egypt,England,Ethiopia,France,Germany,HongKong,Hungary,India,Indonesia,Iran,Ireland,Italy,Japan_cTTO,Japan_DCE,Malaysia,Mexico,Netherlands,NewZealand,Peru_cTTO,Peru_DCE,Philippines,Poland,Portugal,Romania,Slovenia,SouthKorea,Spain,Sweden_2020,Sweden_2022,Taiwan,Thailand,Uganda,Uruguay,USA,Vietnam,WePP
StartValue,1,1,1.1351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9755,1,1,1,1,1,1,1,1
Intercept,NA,-0.0376805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0609,-0.0616,NA,NA,-0.047,NA,NA,NA,NA,NA,NA,NA,NA,-0.096,NA,NA,NA,NA,NA,NA,-0.0126,NA,NA,-0.03
MO1,NA,NA,-0.0389,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO2,-0.039,-0.031544398,-0.0778,-0.066,-0.041,-0.074,-0.058,-0.0337,-0.03759,-0.026,-0.109,-0.035,-0.0496623,-0.119,-0.1790608,-0.063,-0.051,-0.0639,-0.0654,-0.081,-0.016,-0.035,-0.056,-0.1038673,-0.0484702,-0.0419696,-0.025,-0.048,-0.0388384,-0.044,-0.046,-0.084,-0.0287,-0.022,-0.1076,-0.0661,-0.073,-0.014,-0.096,-0.0692,-0.04
MO3,-0.067,-0.058561311,-0.1167,-0.158,-0.054,-0.208,-0.076,-0.0644,-0.04774,-0.042,-0.182,-0.089,-0.0988915,-0.192,-0.2670965,-0.097,-0.064,-0.1126,-0.1125,-0.108,-0.0473,-0.057,-0.129,-0.2231343,-0.0824689,-0.05258544,-0.034,-0.092,-0.0556765,-0.082,-0.058,-0.099,-0.0346,-0.026,-0.1996,-0.0866,-0.146,-0.0322,-0.122,-0.0785,-0.07
MO4,-0.237,-0.178674496,-0.1556,-0.287,-0.157,-0.401,-0.207,-0.2276,-0.17949,-0.139,-0.371,-0.263,-0.2541657,-0.41,-0.3527689,-0.215,-0.244,-0.179,-0.1792,-0.261,-0.1786,-0.166,-0.229,-0.3124068,-0.1754041,-0.21959976,-0.126,-0.182,-0.1071543,-0.211,-0.133,-0.25,-0.0523,-0.087,-0.3652,-0.211,-0.245,-0.1077,-0.237,-0.2064,-0.17
MO5,-0.242,-0.2267916,-0.1945,-0.345,-0.22,-0.604,-0.274,-0.3598,-0.32509,-0.224,-0.529,-0.455,-0.3874732,-0.613,-0.6123861,-0.344,-0.329,-0.2429,-0.2397,-0.34,-0.2697,-0.203,-0.35,-0.4730524,-0.3041742,-0.3086,-0.314,-0.356,-0.2932752,-0.369,-0.251,-0.337,-0.0523,-0.132,-0.4767,-0.3712,-0.376,-0.2987,-0.322,-0.3761,-0.22
SC1,NA,NA,-0.0458,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SC2,-0.03,-0.023013325,-0.0916,-0.048,-0.035,-0.053,-0.05,-0.0235,-0.03656,-0.05,-0.087,-0.045,-0.0512558,-0.101,-0.1024525,-0.055,-0.046,-0.0436,-0.038,-0.062,-0.0476,-0.038,-0.066,-0.1172395,-0.0375383,-0.0399976,-0.031,-0.048,-0.0477504,-0.048,-0.032,-0.05,-0.0254,-0.019,-0.0757,-0.0581,-0.068,-0.0256,-0.089,-0.0428,-0.04
SC3,-0.058,-0.042723608,-0.1374,-0.116,-0.05,-0.106,-0.08,-0.0395,-0.050781,-0.056,-0.113,-0.089,-0.1305876,-0.14,-0.1226921,-0.088,-0.056,-0.0767,-0.0701,-0.083,-0.0819,-0.061,-0.145,-0.214734,-0.0673528,-0.05011464,-0.047,-0.07,-0.0516962,-0.1,-0.05,-0.053,-0.0817,-0.056,-0.1322,-0.0706,-0.11,-0.0609,-0.107,-0.046,-0.07
