Version,Type,Country,PubMed,DOI,ISBN,ExternalURL
EQ-5D-3L,TTO,Argentina,19900257,10.1111/j.1524-4733.2008.00468.x,,
EQ-5D-3L,TTO,Australia,21914515,10.1016/j.jval.2011.04.009,,
EQ-5D-3L,TTO,Bermuda,38982011,10.1007/s10198-024-01701-2,,
EQ-5D-3L,TTO,Brazil,29702778,10.1016/j.vhri.2013.01.009,,
EQ-5D-3L,TTO,Canada,22328929,10.1371/journal.pone.0031115,,
EQ-5D-3L,TTO,Chile,22152184,10.1016/j.jval.2011.09.002.,,
EQ-5D-3L,TTO,China,25128053,10.1016/j.jval.2014.05.007,,
EQ-5D-3L,TTO,Denmark,19411320,10.1177/1403494809105287,,
EQ-5D-3L,TTO,Ecuador,,,,https://www.salud.gob.ec/wp-content/uploads/2019/08/resultados_encuesta_valoracion_estados_salud.pdf
EQ-5D-3L,TTO,France,21935715,10.1007/s10198-011-0351-x,,
EQ-5D-3L,TTO,Germany,19787848,10.1007/s10198-004-0264-z,,
EQ-5D-3L,TTO,Hungary,32940242,10.1016/j.jval.2020.03.019,,
EQ-5D-3L,TTO,Italy,23947975,10.1016/j.jval.2013.04.008,,
EQ-5D-3L,TTO,Japan,12007165,10.1002/hec.673,,
EQ-5D-3L,TTO,Jordan,39225720,10.1007/s10198-024-01712-z,,
EQ-5D-3L,TTO,Netherlands,16786549,10.1002/hec.1124,,
EQ-5D-3L,TTO,Pakistan,37702988,10.1007/s41669-023-00437-8,,
EQ-5D-3L,TTO,Poland,19744296,10.1111/j.1524-4733.2009.00596.x,,
EQ-5D-3L,TTO,Portugal,23748906,10.1007/s11136-013-0448-z,,
EQ-5D-3L,TTO,Russia,33713323,10.1007/s11136-021-02804-6,,
EQ-5D-3L,TTO,Singapore,24519603,10.1007/s40273-014-0142-1,,
EQ-5D-3L,TTO,SouthKorea,19659703,10.1111/j.1524-4733.2009.00579.x,,
EQ-5D-3L,TTO,Spain,11206949,10.1177/0272989X0102100102,,
EQ-5D-3L,TTO,SriLanka,25543271,10.1007/s11136-014-0906-2,,
EQ-5D-3L,TTO,Sweden,23975375,10.1007/s11136-013-0496-4,,
EQ-5D-3L,TTO,Taiwan,24183199,10.1016/j.jfma.2012.12.015,,
EQ-5D-3L,TTO,Thailand,22152185,10.1016/j.jval.2011.06.005,,
EQ-5D-3L,TTO,Trinidad_and_Tobago,27986200,10.1016/j.vhri.2016.07.010,,
EQ-5D-3L,TTO,Tunisia,33447958,10.1007/s11136-020-02730-z,,
EQ-5D-3L,TTO,UK,9366889,10.1097/00005650-199711000-00002,,
EQ-5D-3L,TTO,USA,15725977,10.1097/00005650-200503000-00003,,
EQ-5D-3L,TTO,Zimbabwe,14678566,10.1186/1478-7954-1-11,,
EQ-5D-3L,VAS,Belgium,19582490,10.1007/s10198-009-0167-0,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Denmark,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Europe,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Finland,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Germany,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Iran,27186384,10.5812/ircmj.21584,,
EQ-5D-3L,VAS,Malaysia,22265073,10.1016/j.jval.2011.11.024,,
EQ-5D-3L,VAS,NewZealand,12825206,10.1002/hec.741,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Slovenia,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,Spain,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,VAS,UK,,,1-4020-5511-0,https://eq-5dpublications.euroqol.org/download?id=0_54011&fileId=54420
EQ-5D-3L,RCW,England,,,,https://euroqol.org/support/analysis-tools/cross-walk/
EQ-5D-3L,RCW,Germany,,,,https://euroqol.org/support/analysis-tools/cross-walk/
EQ-5D-3L,RCW,Netherlands,,,,https://euroqol.org/support/analysis-tools/cross-walk/
EQ-5D-3L,RCW,USA,,,,https://euroqol.org/support/analysis-tools/cross-walk/
EQ-5D-3L,RCW,,34452708,10.1016/j.jval.2021.03.009,,
EQ-5D-5L,VT,Australia,36720793,10.1007/s40273-023-01243-0,,
EQ-5D-5L,VT,Belgium,35927410,10.1007/s41669-022-00353-3,,https://www.kce.fgov.be/sites/default/files/2021-11/KCE_342_EQ-5D-5L_value_set_for_Belgium_Report_1.pdf
EQ-5D-5L,VT,Canada,26492214,10.1097/MLR.0000000000000447,,
EQ-5D-5L,VT,China,28408009,10.1016/j.jval.2016.11.016,,
EQ-5D-5L,VT,Denmark,33527304,10.1007/s40258-021-00639-3,,
EQ-5D-5L,VT,Egypt,34786590,10.1007/s40273-021-01100-y,,
EQ-5D-5L,VT,England,28833869,10.1002/hec.3564,,
EQ-5D-5L,VT,Ethiopia,31683254,10.1016/j.vhri.2019.08.475,,
EQ-5D-5L,VT,France,31912325,10.1007/s40273-019-00876-4,,
EQ-5D-5L,VT,Germany,29460066,10.1007/s40273-018-0615-8,,
EQ-5D-5L,VT,Ghana,39236574,10.1016/j.vhri.2024.101045,,
EQ-5D-5L,VT,HongKong,29019161,10.1007/s40271-017-0278-0,,
EQ-5D-5L,VT,Hungary,32940242,10.1016/j.jval.2020.03.019,,
EQ-5D-5L,VT,India,35779943,10.1016/j.jval.2021.11.1370,,
EQ-5D-5L,VT,Indonesia,28695543,10.1007/s40273-017-0538-9,,
EQ-5D-5L,VT,Iran,36897530,10.1007/s11136-023-03378-1,,
EQ-5D-5L,VT,Ireland,30051267,10.1007/s40273-018-0690-x,,
EQ-5D-5L,VT,Italy,34736804,10.1016/j.socscimed.2021.114519,,
EQ-5D-5L,VT,Japan_cTTO,27565282,10.1016/j.jval.2016.03.1834,,
EQ-5D-5L,VT,Japan_DCE,27565282,10.1016/j.jval.2016.03.1834,,
EQ-5D-5L,VT,Malaysia,30535779,10.1007/s40273-018-0758-7,,
EQ-5D-5L,VT,Mexico,34173957,10.1007/s40258-021-00658-0,,
EQ-5D-5L,VT,Morocco,40019677,10.1007/s11136-025-03930-1,,
EQ-5D-5L,VT,Netherlands,27325326,10.1016/j.jval.2016.01.003,,
EQ-5D-5L,VT,Norway,39565555,10.1007/s11136-024-03837-3,,
EQ-5D-5L,VT,NewZealand,31945596,10.1016/j.socscimed.2019.112707,,
EQ-5D-5L,VT,Peru_cTTO,32762989,10.1016/j.jval.2020.05.004,,
EQ-5D-5L,VT,Peru_DCE,32762989,10.1016/j.jval.2020.05.004,,
EQ-5D-5L,VT,Philippines,35532835,10.1007/s11136-022-03143-w,,
EQ-5D-5L,VT,Poland,31161586,10.1007/s40273-019-00811-7,,
EQ-5D-5L,VT,Portugal,31201730,10.1007/s11136-019-02226-5,,
